['note_off', 46, 32.526041666666664, 9]
['note_on', 42, 32.63229166666667, 9]
['note_off', 42, 32.709375, 9]
['note_on', 42, 32.88229166666667, 9]
['note_off', 42, 32.936458333333334, 9]
['note_on', 42, 33.00729166666667, 9]
['note_off', 42, 33.07395833333334, 9]
['note_on', 42, 33.13229166666667, 9]
['note_off', 42, 33.196875, 9]
['note_on', 42, 33.38229166666667, 9]
['note_off', 42, 33.421875, 9]
['note_on', 42, 33.50729166666667, 9]
['note_off', 42, 33.559375, 9]
['note_on', 42, 33.63229166666667, 9]
['note_off', 42, 33.709375, 9]
['note_on', 46, 33.88229166666667, 9]
['note_off', 46, 34.08020833333333, 9]
['note_on', 42, 34.13229166666667, 9]
['note_off', 42, 34.196875, 9]
['note_on', 46, 34.38229166666667, 9]
['note_off', 46, 34.58229166666667, 9]
['note_on', 42, 34.63229166666667, 9]
['note_off', 42, 34.709375, 9]
['note_on', 42, 34.88229166666667, 9]
['note_off', 42, 34.946875, 9]
['note_on', 42, 35.00729166666667, 9]
['note_off', 42, 35.071875, 9]
['note_on', 42, 35.13229166666667, 9]
['note_off', 42, 35.223958333333336, 9]
['note_on', 42, 35.38229166666667, 9]
['note_off', 42, 35.432291666666664, 9]
['note_on', 42, 35.50729166666667, 9]
['note_off', 42, 35.557291666666664, 9]
['note_on', 42, 35.63229166666667, 9]
['note_off', 42, 35.696875, 9]
['note_on', 46, 35.88229166666667, 9]
['note_off', 46, 36.065625, 9]
['note_on', 42, 36.13229166666667, 9]
['note_off', 42, 36.19895833333334, 9]
['note_on', 46, 36.38229166666667, 9]
['note_off', 46, 36.540625, 9]
['note_on', 42, 36.63229166666667, 9]
['note_off', 42, 36.69895833333334, 9]
['note_on', 42, 36.88229166666667, 9]
['note_off', 42, 36.91979166666667, 9]
['note_on', 42, 37.00729166666667, 9]
['note_off', 42, 37.059375, 9]
['note_on', 42, 37.13229166666667, 9]
['note_off', 42, 37.19479166666667, 9]
['note_on', 42, 37.38229166666667, 9]
['note_off', 42, 37.434375, 9]
['note_on', 42, 37.50729166666667, 9]
['note_off', 42, 37.557291666666664, 9]
['note_on', 42, 37.63229166666667, 9]
['note_off', 42, 37.684375, 9]
['note_on', 46, 37.88229166666667, 9]
['note_off', 46, 38.03854166666667, 9]
['note_on', 42, 38.13229166666667, 9]
['note_off', 42, 38.196875, 9]
['note_on', 46, 38.38229166666667, 9]
['note_off', 46, 38.526041666666664, 9]
['note_on', 42, 38.63229166666667, 9]
['note_off', 42, 38.684375, 9]
['note_on', 42, 38.75729166666667, 9]
['note_off', 42, 38.82395833333334, 9]
['note_on', 42, 38.88229166666667, 9]
['note_off', 42, 38.934375, 9]
['note_on', 46, 39.00729166666667, 9]
['note_off', 46, 39.08645833333333, 9]
['note_on', 42, 39.13229166666667, 9]
['note_off', 42, 39.23645833333333, 9]
['note_on', 36, 39.63229166666667, 9]
['note_on', 42, 39.63229166666667, 9]
['note_off', 42, 39.723958333333336, 9]
['note_off', 36, 39.75729166666667, 9]
['note_on', 46, 39.88229166666667, 9]
['note_off', 46, 40.001041666666666, 9]
['note_on', 38, 40.13229166666667, 9]
['note_on', 42, 40.13229166666667, 9]
['note_off', 42, 40.184375, 9]
['note_off', 38, 40.38229166666667, 9]
['note_on', 36, 40.38229166666667, 9]
['note_on', 46, 40.38229166666667, 9]
['note_off', 46, 40.526041666666664, 9]
['note_on', 42, 40.63229166666667, 9]
['note_off', 36, 40.703125, 9]
['note_off', 42, 40.709375, 9]
['note_on', 36, 40.88229166666667, 9]
['note_on', 42, 40.88229166666667, 9]
['note_off', 42, 40.936458333333334, 9]
['note_on', 42, 41.00729166666667, 9]
['note_off', 36, 41.040625, 9]
['note_off', 42, 41.07395833333333, 9]
['note_on', 38, 41.13229166666666, 9]
['note_on', 42, 41.13229166666666, 9]
['note_off', 42, 41.19687499999999, 9]
['note_off', 38, 41.34270833333333, 9]
['note_on', 42, 41.38229166666666, 9]
['note_off', 42, 41.42187499999999, 9]
['note_on', 42, 41.50729166666666, 9]
['note_off', 42, 41.559374999999996, 9]
['note_on', 36, 41.63229166666666, 9]
['note_on', 42, 41.63229166666666, 9]
['note_off', 42, 41.709374999999994, 9]
['note_off', 36, 41.79270833333333, 9]
['note_on', 46, 41.88229166666666, 9]
['note_off', 46, 42.080208333333324, 9]
['note_on', 38, 42.13229166666666, 9]
['note_on', 42, 42.13229166666666, 9]
['note_off', 42, 42.19687499999999, 9]
['note_on', 36, 42.38229166666666, 9]
['note_on', 46, 42.38229166666666, 9]
['note_off', 38, 42.38437499999999, 9]
['note_off', 46, 42.582291666666656, 9]
['note_on', 42, 42.63229166666665, 9]
['note_off', 42, 42.70937499999999, 9]
['note_off', 36, 42.76770833333332, 9]
['note_on', 36, 42.88229166666665, 9]
['note_on', 42, 42.88229166666665, 9]
['note_off', 42, 42.946874999999984, 9]
['note_on', 42, 43.00729166666665, 9]
['note_off', 42, 43.071874999999984, 9]
['note_off', 36, 43.109374999999986, 9]
['note_on', 38, 43.13229166666665, 9]
['note_on', 42, 43.13229166666665, 9]
['note_off', 42, 43.22395833333332, 9]
['note_off', 38, 43.34479166666665, 9]
['note_on', 36, 43.38229166666665, 9]
['note_on', 42, 43.38229166666665, 9]
['note_off', 42, 43.43229166666665, 9]
['note_off', 36, 43.473958333333314, 9]
['note_on', 42, 43.507291666666646, 9]
['note_off', 42, 43.55729166666664, 9]
['note_on', 36, 43.632291666666646, 9]
